combination,combination_size,mode,target,corr,mae,rmse,weighted_component
dinov2-vitg-518,1,raw,Dry_Green_g,0.7189807265366633,11.981837675070029,18.008288458210018,0.49597331893693
dinov2-vitg-518,1,raw,Dry_Dead_g,0.052770878534914446,9.011974369747898,13.166883182155216,-0.1303169572829852
dinov2-vitg-518,1,raw,Dry_Clover_g,-0.24731803957896134,6.792902545627626,13.326382005870899,-0.21282453074626773
dinov2-vitg-518,1,raw,GDM_g,0.8092709314532717,10.442753851540616,14.983312632771877,0.6379350057973597
dinov2-vitg-518,1,raw,Dry_Total_g,0.7978949270490271,11.665040616246499,17.146835413648347,0.623498995472269
dinov2-vitg-518,1,postprocess,Dry_Green_g,0.7189807265366633,11.981837675070029,18.008288458210018,0.49597331893693
dinov2-vitg-518,1,postprocess,Dry_Dead_g,0.03897801026030039,9.117262184873951,13.397470259465404,-0.17025331858176695
dinov2-vitg-518,1,postprocess,Dry_Clover_g,-0.24814559258004332,6.713273182554272,13.395573931567462,-0.22545144167929054
dinov2-vitg-518,1,postprocess,GDM_g,0.8083598470375069,10.518967490589986,15.664174228949678,0.604281945698288
dinov2-vitg-518,1,postprocess,Dry_Total_g,0.7925881024195233,11.878422116815473,18.455094662833638,0.5638551635766853
dinov2-vitg-reg4-518,1,raw,Dry_Green_g,0.7253953364007925,12.06152193627451,18.02737920500008,0.4949041061597017
dinov2-vitg-reg4-518,1,raw,Dry_Dead_g,0.07394527775444416,8.886555304621849,13.060669049776552,-0.11215451092861395
dinov2-vitg-reg4-518,1,raw,Dry_Clover_g,-0.25964065219672566,6.8305144261806285,13.34935479637622,-0.21700960947014059
dinov2-vitg-reg4-518,1,raw,GDM_g,0.8085088502448216,10.60541600140056,15.165363377906461,0.6290832064556158
dinov2-vitg-reg4-518,1,raw,Dry_Total_g,0.8087804650681105,11.617539075630251,16.85699862868079,0.6361195829760449
dinov2-vitg-reg4-518,1,postprocess,Dry_Green_g,0.7253953364007925,12.06152193627451,18.02737920500008,0.4949041061597017
dinov2-vitg-reg4-518,1,postprocess,Dry_Dead_g,0.056844766783641636,8.97134393382353,13.294635886095111,-0.15235734098947584
dinov2-vitg-reg4-518,1,postprocess,Dry_Clover_g,-0.2607484334141651,6.742696235447305,13.413161263624426,-0.22867139624777932
dinov2-vitg-reg4-518,1,postprocess,GDM_g,0.8079759450618952,10.607947161403624,15.759950553535878,0.5994280301870547
dinov2-vitg-reg4-518,1,postprocess,Dry_Total_g,0.8043330215686004,11.803408002615107,18.131264221685612,0.5790268913809299
dinov2-vitl-reg4-518,1,raw,Dry_Green_g,0.7142716354485862,12.302975927871147,18.1749346379485,0.4866017724962072
dinov2-vitl-reg4-518,1,raw,Dry_Dead_g,0.11809995240220864,8.865901908263304,12.98429333555063,-0.09918530765653188
dinov2-vitl-reg4-518,1,raw,Dry_Clover_g,-0.25769504293535195,6.828558087824973,13.397516303323345,-0.2258068508394131
dinov2-vitl-reg4-518,1,raw,GDM_g,0.7985871433032193,10.861235784313726,15.301437788857584,0.6223970863119518
dinov2-vitl-reg4-518,1,raw,Dry_Total_g,0.8171965419305142,11.384125980392156,16.389170148932603,0.6560366985133904
dinov2-vitl-reg4-518,1,postprocess,Dry_Green_g,0.7142716354485862,12.302975927871147,18.1749346379485,0.4866017724962072
dinov2-vitl-reg4-518,1,postprocess,Dry_Dead_g,0.11438921307902336,8.938781976540616,13.169494310851379,-0.13076530874914694
dinov2-vitl-reg4-518,1,postprocess,Dry_Clover_g,-0.25670334456326055,6.745915530899861,13.450884710284118,-0.23559219536624343
dinov2-vitl-reg4-518,1,postprocess,GDM_g,0.7991656137731729,10.898367975041579,15.837842898388173,0.5954586528227994
dinov2-vitl-reg4-518,1,postprocess,Dry_Total_g,0.8148611996795665,11.514474093739057,17.58906578911961,0.6038280460691388
dinov3-vitl-1024-timm,1,raw,Dry_Green_g,0.7394267491848078,11.848203658963586,17.363789916952843,0.5314049517752621
dinov3-vitl-1024-timm,1,raw,Dry_Dead_g,0.1250274078184157,8.920608490896358,12.994726070883496,-0.10095238363182535
dinov3-vitl-1024-timm,1,raw,Dry_Clover_g,-0.25230833862379987,6.8458244591977415,13.37340577029811,-0.22139883042261066
dinov3-vitl-1024-timm,1,raw,GDM_g,0.8061226048562413,10.348745483193277,14.829250533712276,0.6453424089532669
dinov3-vitl-1024-timm,1,raw,Dry_Total_g,0.8286841483065115,10.865656407563026,15.73864967671849,0.6828000442808175
dinov3-vitl-1024-timm,1,postprocess,Dry_Green_g,0.7394267491848078,11.848203658963586,17.363789916952843,0.5314049517752621
dinov3-vitl-1024-timm,1,postprocess,Dry_Dead_g,0.12365927293176439,9.032915449929972,13.175364081510818,-0.13177351939672133
dinov3-vitl-1024-timm,1,postprocess,Dry_Clover_g,-0.25211275593308424,6.759155492275036,13.431362876154344,-0.2320082642747241
dinov3-vitl-1024-timm,1,postprocess,GDM_g,0.8072766547603338,10.324933312543768,15.209073516959192,0.6269419865187882
dinov3-vitl-1024-timm,1,postprocess,Dry_Total_g,0.8264306802888426,11.201308681832106,16.77475077472734,0.639661775924125
dinov3-vithplus-896-timm,1,raw,Dry_Green_g,0.7652978413653049,11.4053162464986,16.658050420469188,0.5687223085755879
dinov3-vithplus-896-timm,1,raw,Dry_Dead_g,0.05778578192404411,9.002394292717087,13.158561630538234,-0.12888867415002525
dinov3-vithplus-896-timm,1,raw,Dry_Clover_g,-0.23783615538889,6.793576867496267,13.322999542849935,-0.2122089377813987
dinov3-vithplus-896-timm,1,raw,GDM_g,0.8203812070445768,10.434981407563026,14.366912280728965,0.6671123102223188
dinov3-vithplus-896-timm,1,raw,Dry_Total_g,0.8160994854073848,11.543315756302519,16.241900940522168,0.6621904713809517
dinov3-vithplus-896-timm,1,postprocess,Dry_Green_g,0.7652978413653049,11.4053162464986,16.658050420469188,0.5687223085755879
dinov3-vithplus-896-timm,1,postprocess,Dry_Dead_g,0.03935035718306121,9.113943399859945,13.412334036968254,-0.1728514260875451
dinov3-vithplus-896-timm,1,postprocess,Dry_Clover_g,-0.2378184140788909,6.709692960372625,13.38982359705652,-0.22439956540018335
dinov3-vithplus-896-timm,1,postprocess,GDM_g,0.8203656641775319,10.41921861765458,14.789527567210225,0.647239899701666
dinov3-vithplus-896-timm,1,postprocess,Dry_Total_g,0.8102836989164371,11.766359651504645,17.33448098367044,0.6152134647055139
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,raw,Dry_Green_g,0.7257802867720413,11.977811738445377,17.95314046677072,0.49905562165407946
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,raw,Dry_Dead_g,0.06298470212550353,8.942082414215687,13.105878664933952,-0.11986730109227017
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,raw,Dry_Clover_g,-0.254446833306423,6.8115761318687635,13.337540184898376,-0.21485637686786752
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,raw,GDM_g,0.8128101270556463,10.465007895658264,14.977010248283731,0.6382395302974522
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,raw,Dry_Total_g,0.8074818432242059,11.529016036414566,16.86353228018321,0.6358374534427285
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,postprocess,Dry_Green_g,0.7257802867720413,11.977811738445377,17.95314046677072,0.49905562165407946
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,postprocess,Dry_Dead_g,0.050001880556263874,9.030251991421569,13.330632387227759,-0.15860602494758314
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,postprocess,Dry_Clover_g,-0.2554471054388519,6.7280034447763475,13.404204830977841,-0.22703109112628894
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,postprocess,GDM_g,0.8121336883362162,10.517482518573836,15.629566241608122,0.6060285908177389
dinov2-vitg-518 + dinov2-vitg-reg4-518,2,postprocess,Dry_Total_g,0.8024388861466146,11.766031384995408,18.183914349721565,0.5765784720681835
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,raw,Dry_Green_g,0.7201629832664348,12.076457361694677,18.030191142522312,0.49474652264740404
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,raw,Dry_Dead_g,0.08583061202621024,8.932147242647059,13.07129804459789,-0.11396542805575915
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,raw,Dry_Clover_g,-0.2545287286056151,6.809658362944788,13.361144293282912,-0.21916016534950677
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,raw,GDM_g,0.8076761919140518,10.593059593837536,15.053550114737758,0.6345325353747737
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,raw,Dry_Total_g,0.8115319739648914,11.413829656862745,16.64740006738303,0.6451122457192212
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Green_g,0.7201629832664348,12.076457361694677,18.030191142522312,0.49474652264740404
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Dead_g,0.07641719913475416,9.02156831670168,13.28091576604807,-0.14998009306039473
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Clover_g,-0.255034947056308,6.72887790041798,13.423393340077512,-0.23054666704554627
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,postprocess,GDM_g,0.8076273912976779,10.665749575044861,15.673448281470707,0.6038132332899953
dinov2-vitg-518 + dinov2-vitl-reg4-518,2,postprocess,Dry_Total_g,0.8076996231865712,11.620536274920122,17.92489432108576,0.5885553793615672
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,raw,Dry_Green_g,0.7380235937729985,11.757425288865546,17.522870989967075,0.5227794063787491
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,raw,Dry_Dead_g,0.09104858938672551,8.952571927521008,13.071212505257884,-0.11395084839344949
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,raw,Dry_Clover_g,-0.25168844417761715,6.818811234161633,13.349147530951953,-0.21697181857182546
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,raw,GDM_g,0.8164540370499266,10.125913532913165,14.656984652378615,0.653534399652355
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,raw,Dry_Total_g,0.8235553010593637,10.95925663515406,16.091004775813833,0.6684381850566796
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Green_g,0.7380235937729985,11.757425288865546,17.522870989967075,0.5227794063787491
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Dead_g,0.08560104651815498,9.055475056897759,13.26595422260877,-0.1473905448618782
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,postprocess,Dry_Clover_g,-0.25281588391210025,6.735444170715161,13.413830810484955,-0.22879406287230752
dinov2-vitg-518 + dinov3-vitl-1024-timm,2,postprocess,GDM_g,0.8167891291296749,10.231392243303569,15.224058296387314,0.6262065116175284
