combination_size,combination,raw_oof_weighted_r2,post_oof_weighted_r2,post_delta,raw_Dry_Green_g_weighted_component,post_Dry_Green_g_weighted_component,raw_Dry_Dead_g_weighted_component,post_Dry_Dead_g_weighted_component,raw_Dry_Clover_g_weighted_component,post_Dry_Clover_g_weighted_component,raw_GDM_g_weighted_component,post_GDM_g_weighted_component,raw_Dry_Total_g_weighted_component,post_Dry_Total_g_weighted_component
2,dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.495654102931373,0.4641641212100911,-0.03148998172128192,0.5557682651606961,0.5557682651606961,-0.11357872254536572,-0.14855796661878062,-0.21671174369983337,-0.22820454183713612,0.6632615456370741,0.643481397941764,0.680908027824817,0.6351345319025208
1,dinov3-vitl-1024-timm,0.4913738777031448,0.4619816020762018,-0.029392275626942965,0.5314049517752621,0.5314049517752621,-0.10095238363182535,-0.13177351939672133,-0.22139883042261066,-0.2320082642747241,0.6453424089532669,0.6269419865187882,0.6828000442808175,0.639661775924125
3,dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.49326029338914773,0.4596632281334292,-0.03359706525571854,0.5385077713659909,0.5385077713659909,-0.10783281158025804,-0.14085065351049875,-0.21965394170186836,-0.23067363524032025,0.6571959819463282,0.6341869467936673,0.6814379903829912,0.6322549810263571
3,dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.49101534155992427,0.4555747472380537,-0.03544059432187058,0.5413053257040844,0.5413053257040844,-0.11165192573600025,-0.15153081173998295,-0.2167510236640735,-0.22851773521380014,0.6594335002360194,0.6355271168776013,0.6756768077646386,0.6246872919750066
2,dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,0.48876772473159186,0.45533133368471834,-0.033436391046873515,0.5160861552383791,0.5160861552383791,-0.098792548495511,-0.12867173398463883,-0.22351646780488466,-0.23383972588024515,0.6436492620253031,0.6196912166558404,0.6813203168654658,0.6320712416324015
1,dinov3-vithplus-896-timm,0.487280167399356,0.4542018440018761,-0.0330783233974799,0.5687223085755879,0.5687223085755879,-0.12888867415002525,-0.1728514260875451,-0.2122089377813987,-0.22439956540018335,0.6671123102223188,0.647239899701666,0.6621904713809517,0.6152134647055139
3,dinov2-vitg-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.489665605852259,0.4534700223375134,-0.03619558351474561,0.5425527130891095,0.5425527130891095,-0.11809584533275519,-0.15800791417659887,-0.2153346030404919,-0.22732703545169008,0.6634107271486112,0.6381281784266145,0.672142467901901,0.6202452206122169
4,dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.4888633316034372,0.4528439614404524,-0.03601937016298479,0.5305620148260999,0.5305620148260999,-0.10793287332981061,-0.1459118621095945,-0.21895411237031892,-0.2302884587340177,0.6540609825104102,0.6289497614493513,0.6753672643775162,0.6232356795046667
4,dinov2-vitg-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.487683572698015,0.45172513331107683,-0.03595843938693816,0.5314301424514047,0.5314301424514047,-0.11283765586027195,-0.14737599709629912,-0.21787870054757463,-0.22944183615135838,0.6568882650336263,0.6307764297906676,0.6724690821738678,0.6202172328651372
2,dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,0.48724202946277906,0.4517202176917081,-0.035521811771070944,0.5364703211675519,0.5364703211675519,-0.11250915178950027,-0.15145027908779074,-0.21884681224718894,-0.23004809499885015,0.6554931121032908,0.6311581582814536,0.6712639426580693,0.6199827826546526
2,dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,0.4862297401916006,0.44998252287758583,-0.03624721731401476,0.520782257170196,0.520782257170196,-0.10420954447427722,-0.14121220899457732,-0.21910942457245808,-0.23041297206212508,0.6475731650828986,0.622272634880294,0.6739375567253496,0.6212245765803553
4,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm + dinov3-vithplus-896-timm,0.4860275809848805,0.4486772778351251,-0.037350303149755404,0.5335621477089447,0.5335621477089447,-0.11565079937178346,-0.15451220618960604,-0.21571968993811907,-0.22774081703178406,0.658655732842558,0.6318360263197536,0.6681545371529294,0.6143583202448379
3,dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,0.4838405492439885,0.44775540357841215,-0.03608514566557636,0.51220179268986,0.51220179268986,-0.10188157635265815,-0.13428835389052285,-0.22128586854943677,-0.23212229824590724,0.6431004237423892,0.6167342887280349,0.6726340594334683,0.6196588635549243
2,dinov2-vitg-518 + dinov3-vitl-1024-timm,0.48411164640015825,0.4474347979562759,-0.03667684844388236,0.5227794063787491,0.5227794063787491,-0.11395084839344949,-0.1473905448618782,-0.21697181857182546,-0.22879406287230752,0.653534399652355,0.6262065116175284,0.6684381850566796,0.6150680315366277
3,dinov2-vitg-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,0.4821515663283745,0.44573070121013275,-0.036420865118241774,0.5133853684098266,0.5133853684098266,-0.10848673644967688,-0.13999307819575701,-0.21984039879485784,-0.2310619624808523,0.6467989196406572,0.619129029646051,0.6685719181674278,0.6153437250152016
2,dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,0.4826767945768271,0.44520813631511147,-0.03746865826171564,0.5401443080909668,0.5401443080909668,-0.11892745845631003,-0.16225539537315115,-0.21452298083879673,-0.2267229047018704,0.6582751454305762,0.6325844573277275,0.6607047572222517,0.6071492880959428
3,dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,0.4820382370937397,0.44483007007840014,-0.03720816701533958,0.5257204013917617,0.5257204013917617,-0.11141511125181691,-0.15117752907577686,-0.218193145453367,-0.2296831953271039,0.650701921407171,0.6241584160529163,0.6645732766872955,0.6110248383378576
3,dinov2-vitg-518 + dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,0.48023439871416645,0.4420978438048251,-0.03813655490934137,0.5264949216593617,0.5264949216593617,-0.1178233029623923,-0.158573606771635,-0.21676634118719873,-0.22861441389564918,0.6540622892946026,0.6261967585757311,0.6604628262085377,0.6058556039809422
3,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,0.48032454036976663,0.4419871377688198,-0.03833740260094681,0.5164651994939989,0.5164651994939989,-0.1120763238554745,-0.148192709537446,-0.21694638893893514,-0.22873162694375115,0.649447528902575,0.620819889123766,0.6633815718385854,0.607738147285573
2,dinov2-vitg-518 + dinov3-vithplus-896-timm,0.4803002919113718,0.4416812015351107,-0.0386190903762611,0.5412210751048324,0.5412210751048324,-0.12822558552218588,-0.17104130526099315,-0.21242736941190432,-0.22501250007250806,0.6634756109841566,0.6357164437468598,0.6550967153949325,0.6000423716172112
4,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,0.47948670963961154,0.4414654083986246,-0.03802130124098696,0.5107053025961865,0.5107053025961865,-0.10844639912576626,-0.14323936527028946,-0.21910386925055558,-0.23046766762705762,0.64502731110194,0.616525586243353,0.6643314879944742,0.60892092836014
4,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518 + dinov3-vithplus-896-timm,0.47777592458449203,0.43907827235030994,-0.03869765223418209,0.5205876043901525,0.5205876043901525,-0.11563167641218097,-0.15584789465243198,-0.21680246871788733,-0.22864305797893114,0.6504278338826752,0.6218105211460878,0.6577500237638971,0.6022130058904268
3,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,0.47750637719434075,0.4380925163514653,-0.03941386084287546,0.5291204758454812,0.5291204758454812,-0.12185791550662128,-0.16424313274012614,-0.2139093147990634,-0.226268859690401,0.6562033987327243,0.6273742301717505,0.6538607457876324,0.5975136439512396
1,dinov2-vitl-reg4-518,0.4686587279191118,0.433030180437211,-0.03562854748190081,0.4866017724962072,0.4866017724962072,-0.09918530765653188,-0.13076530874914694,-0.2258068508394131,-0.23559219536624343,0.6223970863119518,0.5954586528227994,0.6560366985133904,0.6038280460691388
2,dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,0.46876453670800317,0.4304606908397067,-0.03830384586829644,0.49381332197998884,0.49381332197998884,-0.10430450574177685,-0.14106285633675109,-0.22132113457489533,-0.2321382395240268,0.6299592057340744,0.6011454653254801,0.6519078547897132,0.5963407503253793
3,dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,0.46686972436638285,0.4272194899680303,-0.03965023439835258,0.4969980753050587,0.4969980753050587,-0.11232135101224916,-0.14927689050091253,-0.21841219068535378,-0.22992695570006383,0.6357233058111782,0.6049756135076384,0.6461972196868033,0.5888898887121887
